compound,solvent,lambda_max,source
c1ccccc1N=Nc2cnccc2OC,Cc1ccccc1,332.0,photoswitch
CC(C)(C)c1cc(N=Nc2scc(C)n2)c(O)cc1,CCO,425.0,photoswitch
c1cc(ccc1N=Nc2ccc(OC)c3ncccc23)Cl,CCO,359.0,photoswitch
c1cc(ccc1N=Nc2cc(F)ccc2)N(C)C,CCO,418.0,photoswitch
c1cc(ccc1Br)N=Nc2c(noc2C)C,CC#N,325.0,photoswitch
FC(F)(F)c1cc(Cl)ccc1N=Nc2ccc(cc2C)N(CCO)CCO,CCO,447.0,photoswitch
FC(F)(F)c1ccc(c(c1))N=Nc2sc(N3CC3)c(c2-c4ccccc4)C(OCC)=O,CCO,464.0,photoswitch
CC(C)OCCCN1C(=O)C(=C(C)C(=C1NCCCOC)N=Nc2ccc(c(c2))Br)C#N,CCO,431.0,photoswitch
c1(c(c(C)[nH]n1)N=Nc2cccc([N+]([O-])=O)c2)C,CC#N,332.0,photoswitch
c1(cc(cc(F)c1)N=Nc2c(C)onc2C)F,CC#N,315.0,photoswitch
c1cc(ccc1N=Nc2ccc(O)cc2O)Br,CCO,390.0,photoswitch
c1cc(ccc1[N+]([O-])=O)N=NC=2C(=C(C(=O)N)C(NC=2O)=O)C,CCO,423.0,photoswitch
c1cc(ccc1-n2nc(c(N=Nc3c(nn(-c4c(c(Cl)ccc4))c3O)C)c2O)C)S(=O)(=O)O,CCO,430.0,photoswitch
c1c(c(N=NC=2C(=C(C#N)C(N(CC)C=2NCCCOC)=O)C)ccc1Br),CCO,429.0,photoswitch
FC(F)(F)c1c(N=Nc2sc(N3CC3)c(c2-c4ccccc4))c(cc(c1)[N+]([O-])=O),CCO,602.0,photoswitch
c1cc(ccc1N=Nc2c(n[nH]c2C)C)O,CC#N,342.0,photoswitch
c1ccccc1N=Nc2ccc(cc2C)N(CCO)CCO,CCO,415.0,photoswitch
C1CN(CCC1)c2c(c(ccc2)F)N=Nc3cccn3C,CS(=O)C,365.0,photoswitch
c1cc(ccc1N=NC2=C(NC(C(C(=O)N)=C2C)=O)O)C3NC(=O)NC(C)=C3C(OCC)=O,CCO,429.0,photoswitch
c1cc(ccc1N=Nc2c(n[nH]c2C)C)Cl,CC#N,336.0,photoswitch
c1(Cl)cc(cc(Cl)c1N=Nc2c(Cl)cccc2Cl)C,CS(=O)C,302.0,photoswitch
c1cc(ccc1F)N=Nc2cc3c4N(CC3)CCCc4c2,CCO,426.0,photoswitch
c1ccccc1N=Nc2sc(cc2)C#N,CC#N,364.0,photoswitch
c1cc(ccc1N=NC=2C(=C(C(=O)N)C(NC=2O)=O)C)O,CCO,451.0,photoswitch
c1cc(ccc1N=Nc2ccc(cc2)C(C)=O)N(C)C,CCO,447.0,photoswitch
C(c1c(c(N=Nc2c([N+](=O)[O-])cc([N+]([O-])=O)cc2Br)sc1NCCBr)C)#N,CCO,586.0,photoswitch
CC(C)(C)c1cc(C(C)(C)C)c(c(c1)N=Nc2nnc(C)s2)O,CCO,459.0,photoswitch
FC(F)(F)c1ccc(cc1)N=Nc2ccc(cc2C)N(CCO)CCO,CCO,434.0,photoswitch
c1ccccc1N=Nc2ccc(cc2C)N(CCC#N)CCO,CCO,403.0,photoswitch
FC(F)(F)c1ccc(c(N=Nc2c(cc(cc2)N(CCO)CCO)C)c1)Cl,CCO,450.0,photoswitch
c1cc(ccc1)N=Nc2ccc(cc2OC)O,CCO,372.0,photoswitch
c1cc(ccc1)-c2c(c(NCCBr)sc2N=Nc3c(cc([N+]([O-])=O)cc3[N+](=O)[O-])Br)C(OCC)=O,CCO,545.0,photoswitch
c1cc(ccc1)-c2c(sc(N3CC3)c2C(OCC)=O)N=Nc4c(cc(cc4)[N+]([O-])=O),CCO,502.0,photoswitch
c1(cc(N(CCO)CCC#N)ccc1N=Nc2cc(OC)ccc2)C,CCO,407.0,photoswitch
c1cc(ccc1Cl)N=Nc2cc3c4N(CC3)CCCc4c2,CCO,444.0,photoswitch
Cc1noc(c1N=Nc2c(cccc2)Br)C,CC#N,321.0,photoswitch
O=S(=O)(OCCNc1c(c(C)c(N=Nc2c(C#N)cc([N+]([O-])=O)cc2)s1)C#N)C,CCO,584.0,photoswitch
O=S(=O)(C)OCCNc1sc(c(C)c1C(N)=O)N=Nc2c(cc(cc2C#N)[N+]([O-])=O)Br,CCO,480.0,photoswitch
c1cc(ccc1N(C)C)N=Nc2c3c4c(C(=O)N(CCCCCCCCCC)C(=O)c4ccc3)cc2,CCO,510.0,photoswitch
c1cc(ccc1N(C)C)N=Nc2c(c(F)c(c(c2F)F)Nc3c(cccc3)O)F,CCO,438.0,photoswitch
C(CO)N(CCO)c1ccc(c(c1)C)N=Nc2ccc(cc2)F,CCO,417.0,photoswitch
c1cc(ccc1N=NC=2C(=C(C(=O)N)C(NC=2O)=O)C)C,CCO,429.0,photoswitch
FC(F)(F)c1ccc(N=Nc2ccc(cc2)N(CC)CC)cc1,CCO,434.0,photoswitch
FC(F)(F)c1cc(Cl)ccc1N=Nc2ccc(cc2)N(C)C,CCO,442.0,photoswitch
c1(cc(N(CCO)CCC#N)ccc1N=Nc2cc(ccc2)Cl)C,CCO,410.0,photoswitch
O=C1c2c3c(c(N=Nc4c(O)ccc5ccccc45)cc2)cccc3C(=O)N1CCCCCCCCCC,CCO,515.0,photoswitch
c1(ccccc1N=Nc2ccc(cc2C)NCCC#N)C,CCO,400.0,photoswitch
FC(F)(F)c1ccccc1N=Nc2ccc(cc2)N(C)C,CCO,429.0,photoswitch
C1(C(=C(C(=C(N1CC)O)N=Nc2nncs2)C)C#N)=O,CCO,432.0,photoswitch
c1(c(c(C)[nH]n1)N=Nc2cccc(Br)c2)C,CC#N,335.0,photoswitch
c1ccccc1N=Nc2n(C)ncc2,CC#N,341.0,photoswitch
C(CO)N(CCO)c1ccc(N=Nc2ccc(cc2)Br)c(c1)C,CCO,425.0,photoswitch
c1cc(ccc1O)N=Nc2c(OC)cccc2,CCO,351.0,photoswitch
c1(c(N=Nc2cccc(Br)c2)c(C)on1)C,CC#N,315.0,photoswitch
Fc1cc(cc(F)c1N=Nc2ccc(cc2)C(OCC)=O)C(=O)OCC,CC#N,320.0,photoswitch
c1cc(ccc1)-c2c(C(OCC)=O)c(N3CC3)sc2N=Nc4c(cc(cc4Br)[N+]([O-])=O)C#N,CCO,588.0,photoswitch
c1cc(ccc1[N+](=O)[O-])-c2csc(n2)N=NC=3C(=C(C#N)C(=O)N(C=3O)CC)C,CCO,469.0,photoswitch
c1cc(ccc1)CO[C@@H]2[C@H]([C@H]3[C@H](O[C@H]2Sc4ccccc4)COC(COc5c(N=Nc6ccccc6OCC(=O)O3)cccc5)=O)OCc7ccccc7,CC#N,310.0,photoswitch
c1c(OC)c(c(cc1)OC)N=Nc2c(C)nn(c2C)C,CC#N,307.0,photoswitch
CCN(CC)c1ccc(cc1)N=Nc2cccc(C#N)c2C#N,CCO,490.0,photoswitch
c1ccccc1N=Nc2ccc(cc2C)O,CCO,354.0,photoswitch
c1cc(ccc1N=Nc2ccc(cc2)N(CCC#N)CC)Cl,CO,409.0,photoswitch
c1(C#N)cc(cc(C#N)c1)N=Nc2ccc(cc2)N(CC)CC,CCO,562.0,photoswitch
c1cc(ccc1[N+]([O-])=O)N=Nc2c(noc2C)C,CC#N,332.0,photoswitch
c1cc(ccc1N(C)C)N=Nc2c(F)c(c3Nc4c(cccc4)Oc3c2F)F,CCO,472.0,photoswitch
c1cc(ccc1N=Nc2ccc(cc2)N(CCCl)CCCl)Br,CCO,405.0,photoswitch
c1c(NCCC#N)ccc(c1C)N=Nc2ccccc2OC,CCO,394.0,photoswitch
c1(cc(cc(F)c1N=Nc2c(cc(cc2F)C(OCC)=O)F)C(OCC)=O)F,CC#N,314.0,photoswitch
c1cc(ccc1N=Nc2cc(ccc2)C(=O)C)N(C)C,CCO,420.0,photoswitch
c1cc(ccc1N=Nc2c(C)cccc2)O,CCO,350.0,photoswitch
c1(c(OC)cc(cc1)N=Nc2ccc(c(OC)c2)OC)OC,CCO,381.0,photoswitch
c1cc(ccc1)N=Nc2c(C)cnn2C,CC#N,340.0,photoswitch
CCN(CC)c1ccc(cc1)N=Nc2ccccc2C#N,CCO,462.0,photoswitch
FC(F)(F)c1cc(c(N=Nc2sc(N3CC3)c(C(OCC)=O)c2-c4ccccc4)c([N+]([O-])=O)c1),CCO,495.0,photoswitch
c1(nc(nc(O)c1N=Nc2c(cc([N+](=O)[O-])cc2)OC)O)O,CCO,415.0,photoswitch
C(c1sc(N=Nc2sc(c(n2)C(=O)OCC)NCCCC)nc1C(OCC)=O)NCCC,CCO,580.0,photoswitch
c1cc(ccc1N(CC)CCC#N)N=Nc2c(cccc2)Cl,CO,412.0,photoswitch
c1cc(ccc1N(CC)CC)N=Nc2cc(C#N)ccc2,CCO,446.0,photoswitch
c1cc(ccc1)N=Nc2c(I)ccnc2,Cc1ccccc1,330.0,photoswitch
c1(F)cccc(F)c1N=Nc2ccc(cc2)C(=O)OCC,CC#N,316.0,photoswitch
c1c(NCCC#N)ccc(c1C)N=Nc2ccccc2Cl,CCO,408.0,photoswitch
c1cc(ccc1N=Nc2ccc(cc2Cl)[N+](=O)[O-])N3CC3,CCO,396.0,photoswitch
c1cc(ccc1)N=Nc2n(C)ccc2,CC#N,385.0,photoswitch
c1cc(ccc1C)N=Nc2c(n[nH]c2C)C,CC#N,335.0,photoswitch
c1c(Cl)c(ccc1)N=Nc2c(C)[nH]nc2C,CC#N,339.0,photoswitch
c1ccc(N=NC=2C(=C(C#N)C(N(CC)C=2NCCCOC)=O)C)c(C(=O)O)c1,CCO,419.0,photoswitch
Cc1noc(c1N=Nc2c(cccc2)F)C,CC#N,321.0,photoswitch
c1cc(ccc1N=Nc2ccc(cc2)Cl)N(CCO)CCO,CCO,419.0,photoswitch
FC(F)(F)c1cccc(c1)N=Nc2ccc(cc2)N(C)C,CCO,423.0,photoswitch
c1ccccc1N=NC=2C(C)=C(C(N(CC)C=2NCCCOC)=O)C#N,CCO,416.0,photoswitch
N(C(=O)C)c1cc(ccc1)N=Nc2c(C)n[nH]c2C,CC#N,329.0,photoswitch
c1cc(ccc1-n2nc(c(N=Nc3c(nn(-c4cc(c(cc4)C))c3O)C)c2O)C)S(=O)(=O)O,CCO,450.0,photoswitch
c1cc(ccc1C)N=Nc2ccccc2,CCO,333.0,photoswitch
c1cc(ccc1)N=NC=2C(=C(C(=O)N)C(NC=2O)=O)C,CCO,420.0,photoswitch
c1cc(ccc1OC)N=Nc2nnn(C)c2,CC#N,349.0,photoswitch
c1cc(ccc1C)N=Nc2ccc(cc2)N(CCCl)CCCl,CCO,407.0,photoswitch
C(CO)N(CCO)c1ccc(c(c1)C)N=Nc2ccc(cc2)Cl,CCO,424.0,photoswitch
c1cc(ccc1N(C)C)N=Nc2ccccc2Br,CCO,425.0,photoswitch
c1ccccc1-c2c(c(N3CC3)sc2N=Nc4c(cc(cc4Br)[N+]([O-])=O)C#N),CCO,588.0,photoswitch
c1cc(ccc1N=Nc2c(cc(cc2)C)Cl)N3CC3,CCO,379.0,photoswitch
O=S(=O)(OCCNc1sc(c(C)c1C#N)N=Nc2c(cc(cc2[N+](=O)[O-])[N+]([O-])=O)Br)C,CCO,586.0,photoswitch
CC(C)(C)OC(=O)NCCCNc1sc(nc1C(OCC)=O)N=Nc2nc(C(=O)OCC)cs2,CCO,528.0,photoswitch
ClCCN(CCCl)c1ccc(cc1)N=Nc2cc(C)ccc2,CCO,395.0,photoswitch
c1cc(ccc1N=Nc2c(cc(cc2)N(CCC#N)CCO)C)C,CCO,402.0,photoswitch
C(C)N(CC)c1cc(c(cc1OC)N=Nc2cc(c([N+](=O)[O-])cc2C(=O)OC)C(OC)=O)NC(C)=O,CCO,537.0,photoswitch
FC(F)(F)c1cccc(N=Nc2ccc(cc2)N(C)CC)c1,CCO,426.0,photoswitch
c1cc(ccc1O)N=Nc2cc3c4N(CC3)CCCc4c2,CCO,414.0,photoswitch
O=S(=O)(C)OCCNc1sc(c(C)c1C(N)=O)N=Nc2ccc(cc2C#N)[N+]([O-])=O,CCO,460.0,photoswitch
c1cc(ccc1N(C)C)N=Nc2ccccc2F,CCO,418.0,photoswitch
c1cc(ccc1N=NC=2C(=C(C(=O)N)C(NC=2O)=O)C)Cl,CCO,422.0,photoswitch
FC(F)(F)c1cc(cc(C(F)(F)F)c1)N=Nc2cc3CCCN(CCC#N)c3cc2,CCO,450.0,photoswitch
C1CCCN1c2c(c(ccc2)F)N=Nc3cccn3C,CS(=O)C,362.0,photoswitch
O=S(=O)(N)c1c(OC)c(N=Nc2c3ccccc3ccc2O)cc(c1)C,CCO,500.0,photoswitch
c1cc(ccc1N=NC2=C(NC(=O)C(C#N)=C2C)O)C3NC(=O)NC(C)=C3C(OCC)=O,CCO,439.0,photoswitch
CC(C)OCCCN1C(=C(N=Nc2c(c(c(cc2)))[N+](=O)[O-])C(C)=C(C#N)C1=O)NCCCOC,CCO,446.0,photoswitch
c1cc(ccc1Br)N=NC=2C(=C(C(=O)N)C(NC=2O)=O)C,CCO,420.0,photoswitch
c1cc(ccc1N=Nc2cc3CCCN(CCC#N)c3cc2)Cl,CCO,420.0,photoswitch
c1cc(ccc1OC)N=Nc2ccc(NCCC#N)cc2C,CCO,395.0,photoswitch
c1cc(ccc1)N=Nc2ccc(cc2)N(CCC#N)CC,CCO,399.0,photoswitch
c1cc(ccc1O)N=Nc2ccc(cc2)Cl,CCO,356.0,photoswitch
c1cc(ccc1C(OC)=O)N=NC=2C(=C(C#N)C(N(CCCOC(C)C)C=2NCCCOC)=O)C,CCO,440.0,photoswitch
c1cc(ccc1N=Nc2ccc(cc2)CSS(=O)(=O)C)CSS(=O)(=O)C,O,342.0,photoswitch
c1cc(ccc1N=Nc2c3c4c(C(=O)N(CCCCCCCCCC)C(=O)c4ccc3)cc2)N(CC)CC,CCO,525.0,photoswitch
c1cc(ccc1)N=Nc2ccccc2,CCO,318.0,photoswitch
CCN(CC)c1ccc(c(O)c1)N=Nc2nc3c(s2)cc(cc3)OC,CCO,518.0,photoswitch
c1cc(ccc1O)N=Nc2ccc(cc2Cl)Cl,CCO,366.0,photoswitch
c1cc(ccc1N=Nc2cccc(OC)c2)O,CCO,349.0,photoswitch
c1ccccc1N=Nc2ccc(NCCC#N)cc2C,CCO,396.0,photoswitch
c1ccccc1N=Nc2ccc(O)cc2O,CCO,380.0,photoswitch
c1cc(ccc1OC)N=Nc2sccc2,CC#N,375.0,photoswitch
c1cccc(N=Nc2c(C)[nH]nc2C)c1F,CC#N,334.0,photoswitch
c1cc(ccc1OC)N=Nc2c(noc2C)C,CC#N,337.0,photoswitch
c1ccccc1N=NC=2C(=C(C#N)C(N(CCCOC(C)C)C=2NCCCOC)=O)C,CCO,418.0,photoswitch
Fc1c(F)c(c(F)c(F)c1N=Nc2c(F)c(F)c(c(F)c2F)F)F,CC#N,310.0,photoswitch
CC(C)(C)c1cc(N=Nc2ccc(cc2OC)[N+](=O)[O-])c(c(C(C)(C)C)c1)O,CCO,450.0,photoswitch
c1cc(ccc1O)N=Nc2c(cc(Br)cc2)Cl,CCO,368.0,photoswitch
Fc1cccc(F)c1N=Nc2c(F)cccc2F,CC#N,305.0,photoswitch
Fc1c(F)cc(c(F)c1N=Nc2c(F)c(F)cc(c2F)F)F,CC#N,303.0,photoswitch
c1cc(ccc1N=Nc2c(n[nH]c2C)C)[N+]([O-])=O,CC#N,360.0,photoswitch
C(C)N(CC)c1ccc(cc1)N=Nc2ccc(cc2)C#N,CCO,466.0,photoswitch
c1cc(ccc1C(=O)O)N=NC=2C(=C(C(=O)N)C(NC=2O)=O)C,CCO,422.0,photoswitch
c1ccccc1N=Nc2ccc3c(c2)CCCN3,CCO,418.0,photoswitch
C(CO)N(CCO)c1ccc(cc1)N=Nc2ccc(cc2)C,CCO,409.0,photoswitch
c1cnc(N=Nc2c(cccc2)F)s1,CC#N,369.0,photoswitch
c1cc(ccc1N=Nc2cc(C)ccc2)N(C)C,CCO,407.0,photoswitch
c1cc(ccc1C#N)N=Nc2ccc(s2)OC,CC#N,414.0,photoswitch
c1cc(ccc1)-c2c(C(OCC)=O)c(N3CC3)sc2N=Nc4ccc(cc4Cl)C,CCO,501.0,photoswitch
c1cc(ccc1N=Nc2ccc(cc2)Br)N(CCO)CCO,CCO,421.0,photoswitch
C1CN(CCC1)c2c(N=Nc3c(C)onc3C)cccc2,CS(=O)C,316.0,photoswitch
C1CN(CCC1)c2cc(NC(=O)CCl)ccc2N=Nc3c(cc(NC(=O)CCl)cc3)N4CCCCC4,O,445.0,photoswitch
c1cc(ccc1N=Nc2nccs2)N(C)C,CC#N,484.0,photoswitch
OCCN(CCO)c1ccc(N=Nc2ccccc2C)c(C)c1,CCO,418.0,photoswitch
c1cc(ccc1C#N)N=Nc2sccc2,CC#N,371.0,photoswitch
c1cc(ccc1)-c2c(C(=O)OCC)c(sc2N=Nc3c(cc([N+]([O-])=O)cc3[N+](=O)[O-]))N4CC4,CCO,586.0,photoswitch
FC(F)(F)c1cc(cc(C(F)(F)F)c1)N=Nc2c(C)cc(cc2)N(CCO)CCO,CCO,434.0,photoswitch
c1nc2c(cc1)c(N=Nc3cnccc3)ccc2O,CCO,393.0,photoswitch
c1cc(ccc1OC)N=Nc2ccc(c3ncccc23)O,CCO,386.0,photoswitch
C1CCN(C1)c2c(N=Nc3ccc(OC)cc3F)ccc(OC)c2,CC#N,344.0,photoswitch
c1cc(ccc1-n2c(O)c(c(C)n2)N=Nc3c(O)n(nc3C(O)=O)-c4ccc(cc4)S(=O)(=O)O)S(=O)(=O)O,CCO,460.0,photoswitch
c1c(F)c(c(cc1)F)N=Nc2c(C)n[nH]c2C,CC#N,321.0,photoswitch
C(O)(c1ccccc1N=Nc2c(nc(c(C#N)c2C)NCCCOC)NCCCOC)=O,CCO,431.0,photoswitch
c1cc(ccc1N=Nc2ccc(cc2)OC)O,CCO,357.0,photoswitch
CN(C)c1ccc(N=Nc2ccc(cc2)C(C)=O)c(c1)C,CCO,452.0,photoswitch
c1ccccc1N=Nc2c(noc2C)C,CC#N,315.0,photoswitch
c1cc(ccc1N=Nc2cc(C#N)ccc2)N(C)C,CCO,435.0,photoswitch
c1cc(ccc1N(C)C)N=Nc2c(F)c(F)c(c(c2F)F)Sc3ccccc3N,CCO,448.0,photoswitch
c1cc(ccc1N(CC)CC)N=Nc2ccc(C)cc2,CCO,416.0,photoswitch
c1ccccc1N=Nc2nnn(C)c2,CC#N,328.0,photoswitch
c1cc(ccc1)N=Nc2ccc(cc2)NCCC#N,CCO,390.0,photoswitch
Fc1cccc(F)c1N=Nc2c(F)cc(cc2F)C(OCC)=O,CC#N,310.0,photoswitch
c1cnc(N=Nc2c(cccc2)I)s1,CC#N,372.0,photoswitch
CC(C)(C)c1cc(c(O)cc1)N=Nc2nc(-c3ccc(cc3)[N+](=O)[O-])cs2,CCO,428.0,photoswitch
c1(c(c(C)[nH]n1)N=Nc2cc(OC)ccc2)C,CC#N,330.0,photoswitch
FC(F)(F)c1c(N=Nc2c(C)c(c(s2)NCCBr)C#N)c(cc(c1)[N+]([O-])=O),CCO,598.0,photoswitch
c1(F)c(F)c(c(c(F)c1N=Nc2c(c(F)c(c(c2F)F)NCCO)F)F)F,CCO,392.0,photoswitch
c1cc(ccc1N=Nc2c3c4c(C(=O)N(CCCCCCCCCC)C(=O)c4ccc3)cc2)NC(=O)C,CCO,430.0,photoswitch
C1CCCN1c2cccc(c2N=Nc3c(nn(C)c3C)C)F,CS(=O)C,312.0,photoswitch
c1cc(ccc1N=Nc2ccc(cc2)Cl)N(C)C,CCO,417.0,photoswitch
c1cc(ccc1F)N=Nc2c(noc2C)C,CC#N,318.0,photoswitch
C1CN(CCC1)c2c(cccc2)N=Nc3c(C)n(nc3C)C,CS(=O)C,329.0,photoswitch
[N+](c1c(cccc1)N=Nc2c(C)[nH]nc2C)(=O)[O-],CC#N,339.0,photoswitch
FC(F)(F)c1ccc(cc1)N=Nc2c(n[nH]c2C)C,CC#N,334.0,photoswitch
c1cc(ccc1Br)N=Nc2cc3CCCN(CCC#N)c3cc2,CCO,420.0,photoswitch
c1cc(ccc1N=Nc2nccs2)C#N,CC#N,371.0,photoswitch
c1ccccc1-c2c(N=Nc3c(cc(cc3Br)[N+]([O-])=O)C#N)sc(NCCBr)c2,CCO,560.0,photoswitch
c1ccccc1N=Nc2ccc3c(CCCN3CCC#N)c2,CCO,410.0,photoswitch
c1cc(ccc1N(CC)CC)N=Nc2c(cc(Br)cc2),CCO,427.0,photoswitch
c1cc(ccc1)N=Nc2c(cccc2)NC(C)=O,CO,326.0,photoswitch
c1cc(ccc1NCC)N=Nc2ccccc2,CCO,405.0,photoswitch
c1(c(c(C)[nH]n1)N=Nc2cccc(c2)O)C,CC#N,330.0,photoswitch
C1CN(CCO1)c2ccccc2N=Nc3c(C)n(nc3C)C,CS(=O)C,328.0,photoswitch
c1cc(ccc1C(=O)O)N=NC=2C(=C(C#N)C(N(CCCOC(C)C)C=2NCCCOC)=O)C,CCO,436.0,photoswitch
c1cc(ccc1N=Nc2ccc(cc2)N(CCO)CCO)F,CCO,410.0,photoswitch
FC(F)(F)c1ccc(cc1)N=Nc2cc3CCCN4CCCc(c2)c34,CCO,471.0,photoswitch
FC(F)(F)c1ccc(cc1)N=Nc2ccc(cc2)N(C)C,CCO,427.0,photoswitch
C1CCc2cc(cc3CCCN1c23)N=Nc4ccc(cc4)Br,CCO,464.0,photoswitch
c1cc(ccc1N(C)C)N=Nc2c(c(F)c3Sc4ccccc4Sc3c2F)F,CCO,446.0,photoswitch
N#Cc1cc([N+]([O-])=O)ccc1N=Nc2c(C)c(C#N)c(s2)NCCBr,CCO,583.0,photoswitch
c1(c(N=Nc2cccc(c2)O)c(C)on1)C,CC#N,313.0,photoswitch
c1cc(ccc1NC(NCCSS(=O)(=O)C)=O)N=Nc2ccc(cc2)NC(NCCSS(=O)(=O)C)=O,O,382.0,photoswitch
c1(N=Nc2nccs2)nc(cs1),CCO,398.0,photoswitch
c1cnc(N=Nc2ccccc2Cl)s1,CC#N,371.0,photoswitch
c1(cc(N(CCO)CCC#N)ccc1N=Nc2cccc(Br)c2)C,CCO,414.0,photoswitch
O=S(=O)(C)OCCNc1sc(c(C)c1C#N)N=Nc2c(Cl)cc(cc2)[N+](=O)[O-],CCO,599.0,photoswitch
c1cc(ccc1O)N=Nc2ccc(cc2)C,CCO,353.0,photoswitch
c1cc(ccc1N=Nc2c3c(c4c(Nc5c(cccc5)S4)c2F)Sc6ccccc6S3)N(C)C,CCO,404.0,photoswitch
c1cc(ccc1N=Nc2cc3CCCN(CCC#N)c3cc2)OC,CCO,406.0,photoswitch
c1cc(ccc1Br)N=Nc2c(n[nH]c2C)C,CC#N,337.0,photoswitch
c1cc(ccc1N=Nc2c(C)cccc2)N(CCCl)CCCl,CCO,395.0,photoswitch
c1cc(ccc1OC)N=Nc2ccc(cc2)N(C)C,CCO,407.0,photoswitch
c1cc(ccc1OC)N=Nc2cc3c4N(CC3)CCCc4c2,CCO,417.0,photoswitch
c1cc(ccc1C)N=Nc2ccc(NCCC#N)cc2C,CCO,395.0,photoswitch
c1ccc(c(C#N)c1)N=Nc2cc3c(cc2)N(CCC3)CCC#N,CCO,448.0,photoswitch
c1cc(ccc1)N=Nc2n(ccn2)C,CC#N,363.0,photoswitch
c1cc(ccc1C)N=Nc2ccc(O)cc2O,CCO,386.0,photoswitch
c1cc(ccc1F)N=Nc2c(n[nH]c2C)C,CC#N,330.0,photoswitch
C1CCN(C1)c2cc(ccc2N=Nc3ccc(cc3N4CCCCC4)OC)OC,CC#N,488.0,photoswitch
c1ccccc1-c2c(c(NCCBr)sc2N=Nc3c(cc(cc3)C(C)=O))C(OCC)=O,CCO,479.0,photoswitch
c1c(OC)c(c(cc1NC(=O)C)OC)N=Nc2c(cc(cc2OC)NC(=O)C)OC,CS(=O)C,338.0,photoswitch
Cc1noc(c1N=Nc2ccccc2Cl)C,CC#N,321.0,photoswitch
C1CCCN1c2cc(OC)cc(F)c2N=Nc3ccc(cc3)OC,CC#N,335.0,photoswitch
CC(C)(C)c1cc(N=Nc2cc(SOON(CC)CC)ccc2OC)c(O)c(C(C)(C)C)c1,CCO,421.0,photoswitch
c1ccc(cc1C#N)N=Nc2cccs2,CC#N,364.0,photoswitch
c1ccccc1N=Nc2cnccc2,Cc1ccccc1,322.0,photoswitch
c1ccccc1-c2c(c(NCCBr)sc2N=Nc3ccc(cc3))C(OCC)=O,CCO,446.0,photoswitch
c1cc(ccc1O)N=Nc2c(noc2C)C,CC#N,340.0,photoswitch
c1cc(ccc1N=Nc2c(N3CCCC3)cc(OC)cc2)OC,CC#N,340.0,photoswitch
c1cc(ccc1OC)N=Nc2c3c(c(cc2)OC)nccc3,CCO,367.0,photoswitch
c1ccc(N=NC=2C(=C(C#N)C(N(CC)C=2NCCCOC)=O)C)c(c1)C(=O)OC,CCO,425.0,photoswitch
CN(C)c1ccc(cc1)N=Nc2cc(Cl)ccc2,CCO,420.0,photoswitch
c1cc(ccc1)-c2c(C(OCC)=O)c(N3CC3)sc2N=Nc4c(Cl)cc(cc4)[N+](=O)[O-],CCO,526.0,photoswitch
c1cc(ccc1N(CC)CC)N=Nc2c(C#N)ccc(C#N)c2,CCO,495.0,photoswitch
