compound,solvent,lambda_max,source
CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)C(CC)(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-1,CC#N,359.0,fluodb
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(/C=C/C3=CC(/C=C/c4c(C)c5n(c4C)[B-](F)(F)[N+]4=C(C)C=C(C)C4=C5c4ccccc4)=[O+][B-](F)(F)O3)c(C)n1[B-]2(F)F,C1CCOC1,615.0,fluodb
N#CC(C#N)=CNc1cccc(F)c1,CS(C)=O,319.0,fluodb
C[O+]=C1C=CC(=C2c3c(C)cc(C)n3[B-](F)(F)n3c(C)cc(C)c32)c2ccccc21,CCCCCC,504.5,fluodb
COc1cc(Cl)cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1O,CS(C)=O,564.0,fluodb
c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4nc(-c5ccccn5)n(-c5ccccc5)n4)cc3)cc2)cc1,ClCCl,349.0,fluodb
COc1cc2cc(C#Cc3ccc([N+](=O)[O-])cc3)c(C#Cc3ccc([N+](=O)[O-])cc3)cc2cc1OC,ClC(Cl)Cl,362.0,fluodb
CCCCCCc1cc(-c2cc3c4nn(CC(CC)CCCC)nc4c4cc(-c5cc6c(s5)c5ccccc5n6CC(CC)CCCC)sc4c3s2)sc1/C=C(/C#N)C(=O)O,C1CCOC1,469.0,fluodb
CCc1c(C)[nH]c(C2=[N+]3C(=C(C)c4c(C)c(CC)c(C)n4[B-]3(F)F)c3ccccc32)c1C,CC#N,610.0,fluodb
CCOC(=O)CCCCCn1c2ccccc2c(=O)c2cc3c(cc21)c(=O)c1ccccc1n3CC,CO,528.0,fluodb
Cc1ccc(-c2ccc(C(=O)NC(C)(C)C)c3c2ccc2c4ccccc4c4ccccc4c23)cc1,ClCCl,341.0,fluodb
COC(=O)c1[nH]c(-c2ccccc2)c2nnc3ccc(OC)cc3c12,ClCCl,392.0,fluodb
CC(C)CCOc1ccc(N2c3ccccc3Sc3cc(/C=C/c4nc5cc(C(=O)O)c(C(=O)O)cc5nc4/C=C/c4ccc5c(c4)Sc4ccccc4N5c4ccc(OCCC(C)C)cc4)ccc32)cc1,C1CCOC1,471.0,fluodb
F[B-]1(F)n2c(c(-c3ccccc3)c3c2-c2ccccc2SC3)N=C2C(c3ccccc3)=C3CSc4ccccc4C3=[N+]21,ClC(Cl)Cl,706.0,fluodb
C[N+](C)=C1C=CC(=C2c3cccn3[B-](F)(F)n3cccc32)C=C1,CS(C)=O,487.0,fluodb
CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=CC(I)=CC1=C2,OCC(F)(F)F,504.0,fluodb
N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,C1CCCCC1,419.0,fluodb
CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(B(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)ccc2-3)C(CC)(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-1,C1CCOC1,362.0,fluodb
F[B-]1(F)Oc2ccccc2-c2cnc3ccccc3[n+]21,Cc1ccccc1,407.0,fluodb
CN(C)c1ccc(-c2ccc(C=O)cc2)cc1,Cc1ccccc1,368.0,fluodb
CN(C)c1ccc(/C=C/c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1,CCOC(C)=O,387.0,fluodb
Cc1cc(C)c(C2=C3C=CC(c4ccc[nH]4)=[N+]3[B-](F)(F)n3cccc32)c(C)c1,C1CCOC1,575.0,fluodb
CCCCn1c2cc(-c3ccc(-c4ccc5c(c4)C(CC)(CC)c4cc(/C=C(\C#N)C(=O)O)ccc4-5)s3)ccc2c2ccc(N(c3ccccc3)c3ccccc3)cc21,ClCCl,420.0,fluodb
CC1(C)c2ccccc2N(c2ccc(-c3cccc(C#N)c3)cc2)c2ccccc21,Cc1ccccc1,344.0,fluodb
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,C1CCCCC1,434.0,fluodb
COCCOc1ccc(OCCOC)c(C=O)c1,CC(C)O,349.0,fluodb
O=C1O/C(=C\c2ccccc2)c2ccccc21,CC#N,335.0,fluodb
COc1ccc(C2=C(c3ccc(OC)cc3)C(C)(C)c3ccccc32)cc1,C1CCCCC1,283.0,fluodb
N#CC(C#N)=C(/C=C/c1ccc(N(c2ccccc2)c2ccc(/C=C/C(=C(C#N)C#N)c3ccccc3)cc2)cc1)c1ccccc1,CCO,514.0,fluodb
Brc1ccc(-c2nc3sc4ccccc4c3s2)cc1,CS(C)=O,353.0,fluodb
CCCCCC(CC)COc1ccc(-c2ccc(/C(=C\c3ccc(N4c5ccc(-c6ncc(-c7ccc(/C=C(\C#N)C(=O)O)s7)c7nccnc67)cc5C5CCCC54)cc3)c3ccc(-c4ccc(OCC(CC)CCCCC)cc4OC(CC)CCCCC)cc3)cc2)c(OCC(CC)CCCCC)c1,ClCCl,557.0,fluodb
CN(C)c1ccc2cc3ccc(N(C)C)cc3[o+]c2c1,CCO,547.0,fluodb
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n(c26)P1(=O)c1ccccc1)c3c45,C1CCCCC1,430.0,fluodb
Cc1cc(/C=C/c2ccc(S(C)(=O)=O)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,566.0,fluodb
COc1cccc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cccc(OC)c5)c(-c5cccc(OC)c5)n4[B-](F)(F)[N+]3=C2c2cccc(OC)c2)c1,Cc1ccccc1,596.0,fluodb
CCCCCCCCc1cc(/C=C(/C#N)C(=O)O)sc1-c1ccc(-c2sc(-c3ccc4c(c3)c3nc5ccccc5nc3n4CC(CC)CCCC)cc2CCCCCCCC)s1,ClCCl,480.0,fluodb
CCCSC(=O)c1ccc(C(=O)SCCC)nc1,CC#N,613.0,fluodb
CC1(C)CC(=O)c2ccccc2N1,CC#N,372.0,fluodb
COc1ccc(N2c3ccc(-c4cc5sc6cc(C=C(C#N)C(=O)O)sc6c5s4)cc3C3CCCC32)cc1,CCO,485.0,fluodb
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,Cc1ccccc1,436.0,fluodb
Cc1cc(C)c(B2c3cc(C(C)(C)C)ccc3-c3c(-c4ccccc4)ccc4cc(C(C)(C)C)cc2c34)c(C)c1,C1CCCCC1,406.0,fluodb
COC(=O)c1c(C(=O)OC)c2ccc(C)nn2c1C,C1CCCCC1,380.2,fluodb
O=[N+]([O-])c1ccc(/C=C/N(c2ccccc2)c2ccccc2)cc1,ClC(Cl)Cl,438.0,fluodb
CCCCNc1ccc(NCCCC)c2c1C(=O)c1ccccc1C2=O,C1CCCCC1,646.0,fluodb
CCC1(CC)c2ccc(/C=C/C3=C(C#N)C(=C(C#N)C#N)OC3(C)C)cc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,C1CCCCC1,544.0,fluodb
CCOC(=O)c1ccccc1-c1c2ccc(N(CC)CC)cc2[o+]c2cc(N(CC)CC)ccc12,CN(C)C=O,560.0,fluodb
CC1=CC(C)=[N+]2C1=Cc1c(C)c(C=C(Br)Br)c(C)n1[B-]2(F)F,Cc1ccccc1,520.0,fluodb
CC(=O)OC[C@H]1O[C@@H](OCCn2cc(CNC3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)nn2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,O,400.5,fluodb
CC(C)=CC(=O)c1cc2c(cc1F)NC(C)(C)CC2=O,CC#N,356.0,fluodb
COc1ccc(-c2cccc3cnc(-c4ccc(C#N)cc4)n23)cc1,ClCCl,329.0,fluodb
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c2ccccc12,CS(C)=O,575.0,fluodb
CC1(C)CCN2CCC(C)(C)c3c2c1cc1cc(/C=C(\C#N)c2ccc(-c4ccc(/C=C(/C#N)C(=O)O)s4)s2)c(=O)oc31,CCO,552.0,fluodb
C[O+]=C1C=CC(=C2c3cc(-c4ccc(C=O)cc4)c(/C=C/c4ccc(C(F)(F)F)cc4)n3[B-](F)(F)N3C2C=C(c2ccc(C=O)cc2)C3/C=C/c2ccc(C(F)(F)F)cc2)C=C1,C1CCCCC1,645.0,fluodb
CCC1(CC)c2cc(C=C(C#N)C(=O)O)sc2-c2sc(-c3ccc(N(c4ccc(N(C)C)cc4)c4ccc(N(C)C)cc4)cc3)cc21,ClC(Cl)Cl,521.0,fluodb
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C=C(C#N)C#N)c3cccc4c5cccc6c(C=C(C#N)C#N)cc1c(c65)c2c34,Cc1ccccc1,584.0,fluodb
C=CCNc1ccc2c(ccc3[o+]c4cc(N(C)C)ccc4nc32)c1,CCO,601.0,fluodb
C[N+]1=C(C=CC2=C3Oc4c(cc5c6c4CCCN6CCC5)C(c4ccccc4C(=O)O)=C3CCC2)C(C)(C)c2c1ccc1ccccc21,CC#N,742.0,fluodb
CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2C1=C(c1ccc(C#CCO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1)c1c(C)cc(/C=C/c3ccc(N(C)C)cc3)n1[B-]2(F)F,CC#N,701.0,fluodb
CC1(C)OC(=O)C(=CC=CC=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)C(=O)O1,ClCCl,576.0,fluodb
CCN(CC)c1ccc(/C=C/C2=c3c(=O)oc4cc(N(CC)CC)ccc4c3=[O+][B-](F)(F)O2)cc1,CC(C)=O,584.0,fluodb
Oc1n[nH]c2c1cnc1c2c(-c2ccc(Cl)cc2)nn1-c1ccccc1,CS(C)=O,384.0,fluodb
CC[Si](CC)(CC)C1=CC2=C(c3c(C)cc(C)cc3C)c3cc([Si](CC)(CC)CC)cn3[B-](F)(F)[N+]2=C1,C1CCOC1,515.0,fluodb
COC1=C2C=C(Cl)C(=[Cl+])N2[B-](F)(F)n2c1cc(Cl)c2Cl,ClCCl,486.0,fluodb
CN(C)c1ccc(C2=C3C=C(c4ccc(C#N)cc4)S[C@]34c3ccccc3[C@H]2c2ccccc24)cc1,ClCCl,451.0,fluodb
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CS(C)=O,525.0,fluodb
CC1(C)c2ccccc2-c2ccc([C@@H]3c4ccc(-c5ccc(-c6ccc(/C=C(\C#N)C(=O)O)s6)s5)c5c4[C@@H](CCC5)N3c3ccccc3)cc21,CCO,425.0,fluodb
F[B-]1(F)n2c(cc(Cl)c2-c2ccccc2)C(c2ccccc2)=C2C=C(Cl)C(c3ccccc3)=[N+]21,CC#N,558.0,fluodb
COc1ccc(-c2sc3c(=C4C=CC(=[O+]C)C=C4)c4n(c3c2-c2ccc(OC)cc2)[B-](F)(F)N2C=c3c(=C5C=CC(=[O+]C)C=C5)c5sc(-c6ccc(OC)cc6)c(-c6ccc(OC)cc6)c5n3[B-](F)(F)N2C=4)cc1,CCCCCC,595.0,fluodb
CCCCCCc1cc(-c2ccc3c(c2)Sc2cc(-c4cc(CCCCCC)c(/C=C(\C#N)C(=O)O)s4)ccc2N3c2ccc(/C(=C/c3ccccc3)c3ccccc3)cc2)sc1/C=C(\C#N)C(=O)O,C1CCOC1,495.0,fluodb
N#Cc1c2nc3ccccn3c2nc2nc3ccccn3c12,CN(C)C=O,490.0,fluodb
CCC1=C(C)C2=C(c3c4ccccc4cc4ccccc34)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,ClC(Cl)Cl,532.0,fluodb
CCN1c2ccc(/C=N/Nc3ccccn3)cc2Sc2cc(-c3ccc(C#N)cc3)ccc21,ClCCl,388.0,fluodb
CCn1c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)cc2c2cc(-c3ccc(-c4ccc(N(c5ccc(-c6cccs6)cc5)c5ccc(-c6cccs6)cc5)cc4)s3)ccc21,ClC(Cl)Cl,379.0,fluodb
CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,Cc1ccccc1,359.0,fluodb
C[O+]=C1C=CC(=C2c3cccn3[B-](F)(F)n3cc(Br)cc32)C=C1,ClCCl,514.0,fluodb
CN(C)c1cccc2c1-c1ccccc1C2=O,c1ccccc1,433.0,fluodb
CCc1c(C)[nH]c(C2=[N+]3C(=Cc4c(C)c(CC)c(/C=C/c5ccc(N(C)C)cc5)n4[B-]3(F)F)c3ccccc32)c1C,C1CCOC1,720.0,fluodb
N#CC(=Cc1ccc(N(c2ccccc2)c2ccc(-c3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)cc2)cc1)C(=O)O,CN(C)C=O,390.0,fluodb
CCN1C(=CC2=C([O-])C(=CC3=[N+](C)c4ccccc4C3(C)C)C2=O)Sc2ccccc21,ClC(Cl)Cl,649.0,fluodb
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CC(C)CO,588.0,fluodb
CC1=CC(C)=[N+]2C1=C(Cc1ccc(C(F)(F)F)cc1)c1c(C)cc(C)n1[B-]2(F)F,Cc1ccccc1,507.0,fluodb
CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=CC=CC1=C2C,CC(C)=O,495.0,fluodb
N#C/C(=C\C=C\c1ccccc1)c1ccc([N+](=O)[O-])cc1,CN(C)C=O,376.0,fluodb
CC1=C(c2ccc[se]2)C(C)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)c(-c3ccc[se]3)c(C)n1[B-]2(F)F,ClCCl,532.0,fluodb
Cc1cc2n(c1-c1ccc(C#CCCCCC(=O)ON3C(=O)CCC3=O)s1)[B-](F)(F)n1c(cc(C)c1=C1C=CC=[S+]1)=C2,CS(C)=O,617.0,fluodb
CCOC(=O)/C(C1=C2C=CC=[N+]2[B-](F)(F)n2cccc21)=C(/C)O,CO,505.5,fluodb
Cc1ccc(C2C3=C(CC(C)(C)CC3=O)Oc3ccc4ccc(OCCCNCCNc5ccnc6cc(Cl)ccc56)cc4c32)cc1,CO,330.0,fluodb
CCCCCC1=C(C)C2=Cc3c(Oc4ccc(N(C)C)cc4)cc(-c4ccc[nH]4)n3[B-](F)(F)[N+]2=C1C,ClCCl,567.0,fluodb
Nc1ccc(Nc2nc(=Nc3cccc4ccccc34)[nH]c(=Nc3cccc4ccccc34)[nH]2)cc1,ClCCl,295.0,fluodb
CCCCCCCCN1C(=O)c2ccc3c4c(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)cc5c6c(ccc(c7c(-c8ccc(-n9c%10ccccc%10c%10ccccc%109)cc8)cc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O,ClC(Cl)Cl,561.0,fluodb
CC(C)(C)OC(=O)N1CCN(c2ccc3c(c2)C(C)(C)c2cc(C=O)ccc2-3)CC1,O,377.0,fluodb
CC[B-]1(CC)n2c(C)c(/C=C/c3c(C)c4n(c3C)[B-](CC)(CC)[N+]3=C(C)C=C(C)C3=C4c3ccccc3)c(C)c2C(c2ccccc2)=C2C(C)=CC(C)=[N+]21,ClCCl,554.0,fluodb
Cc1cc(/C=C/c2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,557.0,fluodb
Cc1cc(O)c(C(=O)/C=C/c2ccccc2O)c(=O)o1,CC#N,359.0,fluodb
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,405.5,fluodb
C#CC[NH+]=C1c2cccn2[B-](F)(F)n2cccc21,CCOC(C)=O,408.5,fluodb
COc1ccc(SC2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1,CCCCCC,495.0,fluodb
CN(C)/C=N\c1ccc2c3c(cccc13)C(=O)c1ccccc1-2,CO,470.0,fluodb
CCCCCCCCN1/C(=C/C2/C(=C(/C#N)C(=O)OCC)C(=CC3=[N+](CCCCCCCC)c4cccc(C(=O)O)c4C3(C)C)C2[O-])C(C)(C)c2cc(C(=O)O)ccc21,CCO,703.0,fluodb
CCCSC1=[N+]2C(=C(c3ccccc3)c3cc(SC#N)c(SCCC)n3[B-]2(F)F)C=C1,CCCCCC,556.0,fluodb
CCn1c2ccccc2c2cc(C#Cc3cc(C#Cc4ccc5c(c4)c4ccccc4n5CC)nc(OC)n3)ccc21,CCOC(C)=O,384.0,fluodb
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CC#N,418.0,fluodb
Cc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cc(I)cc32)cc1,OC(F)(F)CF,513.0,fluodb
CN(C)c1ccc(/C=C/c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,C1COCCO1,369.0,fluodb
CCCCOC(=O)CCC[n+]1c(C=C2C(=O)C(C=C3N(C)c4ccccc4C3(C)C)=C2C(=C=[N-])C#N)sc2ccccc21,CS(C)=O,680.0,fluodb
CCCCCCOc1cc(N(CC)CC)ccc1/C=C(\C#N)c1ccc(/C=C/C(=C(C#N)C#N)c2ccc3c(c2)c2ccccc2n3CC)s1,ClCCl,570.0,fluodb
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc(-c4ccc(-c5c(C)cc(C(=O)O)cc5C)c5nsnc45)s3)cc2)cc1,ClCCl,480.0,fluodb
CCCc1cn(-c2ccc3n2[B-](F)(F)[N+]2=C(NCc4ccccc4OCC)C=CC2=C3c2ccc(N)cc2)nn1,C1CCCCC1,524.0,fluodb
CC1=CC(c2ccc3ccccc3c2)=[O+][B-]2(OC(=O)C(=O)O2)O1,CC#N,400.0,fluodb
c1ccc(N=c2[nH]c(=Nc3ccccc3)[nH]c(=Nc3ccc4cc5ccccc5cc4c3)[nH]2)cc1,CC#N,401.0,fluodb
CCCCCCCCCC[C@]1(CCCCCCCC)C(C=C2C(=O)C(C=C3N(C)c4ccc5cc(C(=O)[O-])ccc5c4C3(C)C)=C2O)=[N+](C)c2cc3c(cc21)-c1ccccc1C3(CCCCCCCC)CCCCCCCC,ClCCl,679.0,fluodb
c1cc2cc(-c3ccncc3)c3cccc4c(-c5ccncc5)cc(c1)c2c34,Cc1ccccc1,344.0,fluodb
Oc1ccccc1/C=N/c1ccc(Cn2cncn2)cc1,CC(C)O,294.0,fluodb
c1cnc(-c2c3ccccc3c(-c3cncnc3)c3ccccc23)nc1,CCO,391.0,fluodb
O=C1C=CC=C[N+]1=C1C=CC2=C(c3ccco3)c3ccc(-n4ccccc4=O)n3[B-](F)(F)N21,Cc1ccccc1,550.0,fluodb
Cc1cccc(N(c2ccc(/C=C/C=C/C=C3\SC(=S)N(CC(=O)O)C3=O)cc2)c2ccc(C)c(C)c2)c1,CS(C)=O,503.0,fluodb
C#CC1=CC(=[O+]CCCC)C(=C=C=c2ccc(=C3c4c(C)c(CC)c(C)n4[B-](F)(F)n4c(C)c(CC)c(C)c43)cc2)C=C1OCCCC,ClC(Cl)Cl,528.0,fluodb
CN(C)c1ccc(/C=C/c2nc3cnccn3c2NC2CCCCC2)cc1,CS(C)=O,407.0,fluodb
CCC1=C(C)C2=C(C)c3cc(SC#N)c(NCc4ccc(OC)cc4)n3[B-](F)(F)[N+]2=C1C,CO,562.0,fluodb
C[N+](C)=C1C=CC(=CC=C2C=CN(CCCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)C=C2)C=C1,c1ccncc1,490.0,fluodb
COc1cc(/C=C/c2nc3ccccc3o2)c(OC)cc1/C=C/c1nc(C)nc(/C=C/c2cc(OC)c(/C=C/c3nc4ccccc4o3)cc2OC)n1,C1CCOC1,431.0,fluodb
Clc1nc(=Nc2ccccc2)[nH]c(=Nc2ccc3cc4ccccc4cc3c2)[nH]1,C1COCCO1,398.0,fluodb
Fc1ccc(-c2cc(-c3ccc(F)cc3)c3ccc4c(-c5ccc(F)cc5)cc(-c5ccc(F)cc5)c5ccc2c3c54)cc1,C1CCCCC1,387.0,fluodb
CC1=C2C=CC(/C=C/c3ccccc3)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,ClC(Cl)Cl,559.0,fluodb
CCCCCCc1cc(-c2cc(CCCCCC)c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)sc1/C=C(\C#N)C(=O)O,ClCCl,449.0,fluodb
CCCCCCC(CCCCCC)N1C(=O)c2cccc3c(-c4ccc(-c5ccc(OC)cc5)cc4)ccc(c23)C1=O,CCCCO,366.0,fluodb
COc1ccc(C2CC(c3ccc(O)cc3)=NN2c2ccc(S(N)(=O)=O)cc2)cc1,CN(C)C=O,361.0,fluodb
CC(=O)c1ccn2c3c(c(-c4ccccc4)c2c1)CN(CCCN=C(O)OC(C)(C)C)C3=O,CO,403.0,fluodb
Cc1cc(/C=C/c2ccc(C)c3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,566.5,fluodb
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,CCCCCCCCCCCCCC,391.0,fluodb
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)s4)s3)cc2)cc1,CCO,458.0,fluodb
